id,day,month,year,month(no),date,location,OSGridRef,latitude ,longitude,Nation,comments
105,,October,1157,10,10-1157,Woodstock,SP4449616513,51.845,-1.354,England,N/A
106,,October,1157,10,10-1157,Brill,SP6543913911,51.82,-1.052,England,(in Buckinghamshire)
107,c.,December,1157,12,c.12-1157,Stamford,TF0253307592,52.656,-0.484,England,N/A
108,c.25,December,1157,12,c.25-12-1157,Wikeford (Lincoln),SK9731470450,53.2222,-0.5439,England,"The King was crowned at Wikeford, a suburb of the City of Lincoln.  (Likely to be Wigford)"
109,c.,January,1158,1,c.1-1158,Carlisle,NY3954755548,54.891,-2.944,England,N/A
110,,January,1158,1,1-1158,Castle of Wark,NT8235038710,55.64162,-2.28196,England,"The King fortifies the Castle of Were, i.e., Wark in Wark, or Werk. Northumberland."
111,,January,1158,1,1-1158,Newcastle upon Tyne,NZ2198568180,55.0077,-1.6578,England,N/A
112,,January,1158,1,1-1158,Doncaster,SE5741703562,53.525594,-1.1353707,England,N/A
113,,January,1158,1,1-1158,Peak Castle,SK1483282641,53.3402,-1.7772,England,N/A
114,,January,1158,1,1-1158,York,SE6048651973,53.960106,-1.078017,England,N/A
115,,January,1158,1,1-1158,Nottingham,SK5700040000,52.954357,-1.1530111,England,N/A
116,,,1158,,1158,Woodstock,SP4449616513,51.845,-1.354,England,"During February and March 1158 the King probably visited Oxfordshire, Hampshire, and Wiltshire."
117,,,1158,,1158,Brockenhurst,SU2968202357,50.82,-1.58,England,"During February and March 1158 the King probably visited Oxfordshire, Hampshire, and Wiltshire."
118,,,1158,,1158,Salisbury,SU1471230154,51.07,-1.79,England,"During February and March 1158 the King probably visited Oxfordshire, Hampshire, and Wiltshire."
119,,,1158,,1158,Clarendon,SU1820130173,51.0706,-1.7416,England,"During February and March 1158 the King probably visited Oxfordshire, Hampshire, and Wiltshire."
120,20,April,1158,4,20-4-1158,Worcester,SO8496354929,52.192,-2.22,England,"This being Easter Day, is probably the date when the King and Queen were crowned at Worcester."
121,,April,1158,4,4-1158,Tewkesbury,SO8901432453,51.99,-2.16,England,N/A
122,,,1158,,1158,Shropshire,SJ5148402379,52.616667,-2.716667,England,April to August 1158
123,,,1158,,1158,Gloucestershire,SO8851615031,51.833333,-2.166667,England,April to August 1158
124,,,1158,,1158,Wells,ST5494945837,51.209444,-2.645,England,April to August 1158
125,,,1158,,1158,Cheddar,ST4574153661,51.279,-2.778,England,April to August 1158
126,,,1158,,1158,Clarendon,SU1820130173,51.0706,-1.7416,England,April to August 1158
127,,,1158,,1158,Woodstock,SP4449616513,51.845,-1.354,England,April to August 1158
128,,,1158,,1158,Evesham,SP0372843741,52.092,-1.947,England,April to August 1158
129,,,1158,,1158,Hereford,SO5100440033,52.0565,-2.716,England,April to August 1158
130,,,1158,,1158,Gloucester,SO8320018600,51.865722,-2.2453868,England,April to August 1158
131,,,1158,,1158,Newnham,SO6897411740,51.803,-2.45,England,April to August 1158
132,,,1158,,1158,Windsor,SU9691277019,51.483333,-0.604167,England,April to August 1158
133,,,1158,,1158,Reading,SU7134673352,51.454167,-0.973056,England,April to August 1158
134,,,1158,,1158,Patmer,TL 45204 25819,51.91198367,0.1096185238,England,Possibly Patmer Manor
135,,,1158,,1158,Westminster,TQ3016079670,51.500988,-0.12617168,England,April to August 1158
136,,,1158,,1158,South Wales,ST0437699242,51.683333,-3.383333,Wales,"August, July, August"
137,,August,1158,8,8-1158,Winchester,SU4779329466,51.062549,-1.3193687,England,N/A
138,14,August,1158,8,14-8-1158,Portsmouth,SU6430901157,50.805833,-1.087222,England,Portsmouth or Southampton
139,,August,1158,8,8-1158,Gisors,,49.2811,1.7772,France,Appears as 'Inter Gisors' in the text.  King Henry holds a conference with Louis VII on the River Epte.
140,,August,1158,8,8-1158,Neufmarché,,49.4244,1.7164,France,King Henry holds a conference with Louis VII on the River Epte.
141,8,September,1158,9,8-9-1158,Argentan,,48.75,-0.02,France,N/A
142,,September,1158,9,9-1158,Paris,,48.856613,2.352222,France,King Henry visits Paris.
143,,September,1158,9,9-1158,Mantes,,48.9908,1.7172,France,N/A
144,29,September,1158,9,29-9-1158,Avranches,,48.685,-1.3556,France,N/A
145,,October,1158,10,10-1158,Mont St. Michael,,48.636,-1.511,France,N/A
146,,October,1158,10,10-1158,St. Jacques,,47.54889175,-2.823575199,France,Brittany
147,,October,1158,10,10-1158,Pont Orson,,48.5534,-1.5068,France,N/A
148,c.9,October,1158,10,c.9-10-1158,Nantes,,47.2181,-1.5528,France,N/A
149,,October,1158,10,10-1158,Thouars,,46.9758,-0.2142,France,The King besieges and takes Thouars
150,,October,1158,10,10-1158,Le Mans,,48.0077,0.1984,France,"The King goes to Le Mans, and ther meets Louis of France"
151,23,November,1158,11,23-11-1158,Mont St. Michael,,48.636,-1.511,France,The King accompanies Louis VII visiting Mont St. Michael
152,,November,1158,11,11-1158,Avranches,,48.685,-1.3556,France,Both Henry and Louis VII adjourn to Avranches
153,,November,1158,11,11-1158,Bayeux,,49.2794,-0.7028,France,K. Henry is next found at Bayeux (Baieux) with Louis VII
154,,November,1158,11,11-1158,Caen,,49.18,-0.37,France,At Caen entertaining Louis VII
155,,November,1158,11,11-1158,Pacey,,49.0167,1.3828,France,At Rouen entertaining Louis VII
156,,November,1158,11,11-1158,Évreux,,49.02,1.15,France,Appears as 'Evereux' in the text
157,,November,1158,11,11-1158,Neufbourg,,48.6578,-0.9464,France,N/A
158,,November,1158,11,11-1158,Bec,,49.2288,0.722,France,N/A
159,,December,1158,12,12-1158,Amboise,,47.4042,0.98,France,N/A
160,,December,1158,12,12-1158,Fréteval,,47.8886,1.2106,France,N/A
161,,December,1158,12,12-1158,Moulins,,46.5653,3.3333,France,N/A
162,,December,1158,12,12-1158,Bonmoulins,,48.6511,0.5367,France,Appears as 'Bon Moulins' in the text
163,25,December,1158,12,25-12-1158,Cherbourg,,49.63,-1.62,France,N/A
164,,January,1159,1,1-1159,Rouen,,49.442778,1.088611,France,N/A
165,,January,1159,1,1-1159,Argentan,,48.75,-0.02,France,N/A
166,,January,1159,1,1-1159,Rouen,,49.442778,1.088611,France,N/A
167,,March,1159,3,3-1159,Normandy,,48.88,0.17,France,N/A
168,,April,1159,4,4-1159,Blaye Castle,,45.13,-0.665833,France,Appears to be Rudel Castle
169,,April,1159,4,4-1159,Poitiers,,46.58,0.34,France,Appears as 'Poictiers' in text
170,21,May,1159,5,21-5-1159,Bec Hellouin,,49.2325,0.7217,France,N/A
171,22,May,1159,5,22-5-1159,Bec Hellouin,,49.2325,0.7217,France,N/A
172,23,May,1159,5,23-5-1159,Bec Hellouin,,49.2325,0.7217,France,N/A
173,24,May,1159,5,24-5-1159,Rouen,,49.442778,1.088611,France,N/A
174,6,June,1159,6,6-6-1159,Hilliricourt,,,,France,N/A
175,7,June,1159,6,7-6-1159,Hilliricourt,,,,France,N/A
176,8,June,1159,6,8-6-1159,Hilliricourt,,,,France,N/A
177,24,June,1159,6,24-6-1159,Poitiers,,46.58,0.34,France,Appears as 'Poictiers' in text
178,,June,1159,6,6-1159,Saintes,,45.7464,-0.6333,France,N/A
179,c.30,June,1159,6,c.30-6-1159,Périgueux,,45.1929,0.7217,France,Appears as 'Perigueux' in the text
180,1,July,1159,7,1-7-1159,Agen,,44.2049,0.6212,France,(Guienne)
181,2,July,1159,7,2-7-1159,Agen,,44.2049,0.6212,France,(Guienne)
182,3,July,1159,7,3-7-1159,Agen,,44.2049,0.6212,France,(Guienne)
183,,July,1159,7,7-1159,Auvillar,,44.0703,0.9006,France,(Gascony).  Appears as 'Auvillards' in the text
184,,July,1159,7,7-1159,Toulouse,,43.6045,1.444,France,(Languedoc)
185,,September,1159,9,9-1159,Toulouse,,43.6045,1.444,France,"The King of England is still before Toulouse, when Louis of France throws himself into the town, adopting the cause of its defender."
186,26,September,1159,9,26-9-1159,Toulouse,,43.6045,1.444,France,King Henry breaks up the siege of Toulouse.
187,,September,1159,9,9-1159,Cahors,,44.4483,1.4414,France,"The King goes first to Cahors, which he fortifies."
188,c.,October,1159,10,c.10-1159,Uzerche,,45.4256,1.5642,France,(Limousin)
189,,October,1159,10,10-1159,Limoges,,45.8353,1.2625,France,N/A
190,,October,1159,10,10-1159,Beauvais,,49.4303,2.0952,France,"King Henry, having arrived in Normandy, invades Louis's territory about Beauvais (pagum Belvacensem)."
191,,November,1159,11,11-1159,Guerberoi,,49.535,1.8506,France,King Henry destroys the Border Fortress of Guerberoi.
192,,November,1159,11,11-1159,Estrepagni,,49.3067,1.6122,France,Likely to be Étrépagny
193,25,December,1159,12,25-12-1159,Falaise,,48.897222,-0.1975,France,N/A
194,,,1160,,1160,Argentan,,48.75,-0.02,France,Some time in the first half of 1160 the King would seem to have been at Argentan.
195,,,1160,,1160,Rouen,,49.442778,1.088611,France,"May or June,"
196,,July,1160,7,7-1160,Neufmarché,,49.4244,1.7164,France,N/A
197,,October,1160,10,10-1160,Marches of Normandy,,49.09293671,1.600701688,France,K. Henry and Louis renew peaceful engagements.
198,2,November,1160,11,2-11-1160,Neufbourg,,48.6578,-0.9464,France,N/A
199,,November,1160,11,11-1160,Gisors,,49.2811,1.7772,France,K. Henry builds the Castles of Gisors
200,,November,1160,11,11-1160,Neaufles,,49.2790008,1.725900295,France,K. Henry builds the Castles of Neaufles
201,,November,1160,11,11-1160,Neufchâtel,,49.73,1.44,France,K. Henry builds the Castles of Neufchâtel
202,25,December,1160,12,25-12-1160,Le Mans,,48.0077,0.1984,France,N/A
203,,January,1161,1,1-1161,Gisors,,49.2811,1.7772,France,N/A
204,,January,1161,1,1-1161,Rouen,,49.442778,1.088611,France,N/A
205,,February,1161,2,2-1161,Caen,,49.18,-0.37,France,The King founds a Leper-house at Caen.
206,,February,1161,2,2-1161,Osmanville ,,49.3294,-1.08,France,The King builds a Castle at Osmanville (Amandivillam) Osmanviiie. on the River Vire.
207,1,March,1161,3,1-3-1161,Mortemer Abbey,,49.3696,1.4807,France,The King was at the Abbey of Mortimer-en-Lions.  (It being the first day of Lent)
208,,March,1161,3,3-1161,Lyons-la-Forêt,,49.4003,1.4769,France,Appears as 'Leons' or 'Lions-la-Forêt' in the text
209,,March,1161,3,3-1161,Le Mans,,48.0077,0.1984,France,N/A
210,,May,1161,5,5-1161,The Vexin,,49.155,1.7875,France,N/A
211,,May,1161,5,5-1161,The Dunois,,48.0717,1.3387,France,N/A
212,,May,1161,5,5-1161,Les Andelys,,49.2461,1.4125,France,Also 'Andele' in the text
213,30,June,1161,6,30-6-1161,Castellion,,44.855556,-0.040556,France,"Castle in Guienne, above the town of Aden"
214,10,August,1161,8,10-8-1161,Castellion,,44.855556,-0.040556,France,Appears as 'Châtillon'
215,,October,1161,10,10-1161,Fréteval,,47.8886,1.2106,France,A peace between Henry and Louis negotiated at Fréteval
216,25,December,1161,12,25-12-1161,Bayeux,,49.2794,-0.7028,France,Appears as 'Baieux' in the text
217,25,February,1162,2,25-2-1162,Rouen,,49.442778,1.088611,France,"K. Henry holds a Council at Rouen, which was adjourned to Lillebone"
218,,February,1162,2,2-1162,Lillebonne,,49.5189,0.5343,France,Appears in the text as 'Lillebone'
219,,February,1162,2,2-1162,Fécamp,,49.76,0.38,France,N/A
220,c.8,April,1162,4,c.8-4-1162,Rouen,,49.442778,1.088611,France,N/A
221,,May,1162,5,5-1162,Falaise,,48.897222,-0.1975,France,N/A
222,,June,1162,6,6-1162,Chinon,,47.1678,0.2436,France,N/A
223,,September,1162,9,9-1162,Touci,,47.2372,0.1278,France,(or Choisi).  Likely to be Chouzé-sur-Loire
224,18,September,1162,9,18-9-1162,Déols,,46.8308,1.7067,France,K. Henry supposed to have been at Deols.  Deols was in Berri
225,,December,1162,12,12-1162,Barfleur,,49.6711,-1.2633,France,N/A
226,25,December,1162,12,25-12-1162,Cherbourg,,49.63,-1.62,France,N/A
227,25,January,1163,1,25-1-1163,Southampton,SU4189211677,50.9025,-1.404167,England,N/A
228,,February,1163,2,2-1163,Oxford,SP5130006100,51.751253,-1.2582674,England,N/A
229,,February,1163,2,2-1163,Salisbury,SU1471230154,51.07,-1.79,England,N/A
230,3,March,1163,3,3-3-1163,London,TQ3248081340,51.515457,-0.092140265,England,The King holds a Council in London.
231,6,March,1163,3,6-3-1163,London,TQ3248081340,51.515457,-0.092140265,England,The King still in London.
232,8,March,1163,3,8-3-1163,Westminster,TQ3016079670,51.500988,-0.12617168,England,The King is sitting in Curia at Westminster.
233,17,March,1163,3,17-3-1163,Canterbury,TR1454057430,51.275608,1.0745524,England,N/A
234,19,March,1163,3,19-3-1163,Dover,TR3161341898,51.1295,1.3089,England,N/A
235,,March,1163,3,3-1163,Windsor,SU9691277019,51.483333,-0.604167,England,N/A
236,31,March,1163,3,31-3-1163,Windsor,SU9691277019,51.483333,-0.604167,England,N/A
237,,April,1163,4,4-1163,Reading,SU7134673352,51.454167,-0.973056,England,N/A
238,,April,1163,4,4-1163,Wallingford,SU6059889321,51.599,-1.125,England,N/A
239,,April,1163,4,4-1163,Carmarthenshire,SN4089620075,51.856111,-4.310556,Wales,"From Wallingford the King, accompanied by Richard de Luci, goes on an expedition against Wales. The English Wales, army ravages Carmarthenshire. "
240,,June,1163,6,6-1163,Carlisle,NY3954755548,54.891,-2.944,England,N/A
241,,June,1163,6,6-1163,York,SE6048651973,53.960106,-1.078017,England,N/A
242,1,July,1163,7,1-7-1163,Woodstock,SP4449616513,51.845,-1.354,England,"The King is at Woodstock, where Malcolm, King of Scotland, Rese, Prince of South Wales, and Owen, Prince of North Wales, attend and do homage to him and his son."
243,2,July,1163,7,2-7-1163,Woodstock,SP4449616513,51.845,-1.354,England,N/A
244,3,July,1163,7,3-7-1163,Woodstock,SP4449616513,51.845,-1.354,England,N/A
245,4,July,1163,7,4-7-1163,Woodstock,SP4449616513,51.845,-1.354,England,N/A
246,5,July,1163,7,5-7-1163,Woodstock,SP4449616513,51.845,-1.354,England,N/A
247,6,July,1163,7,6-7-1163,Woodstock,SP4449616513,51.845,-1.354,England,N/A
248,7,July,1163,7,7-7-1163,Woodstock,SP4449616513,51.845,-1.354,England,N/A
249,,July,1163,7,7-1163,London,TQ3248081340,51.515457,-0.092140265,England,N/A
250,,August,1163,8,8-1163,Windsor,SU9691277019,51.483333,-0.604167,England,N/A
251,1,October,1163,10,1-10-1163,London,TQ3248081340,51.515457,-0.092140265,England,N/A
252,2,October,1163,10,2-10-1163,London,TQ3248081340,51.515457,-0.092140265,England,N/A
253,,October,1163,10,10-1163,Northampton,SP7549060562,52.238083,-0.89592755,England,N/A
254,,October,1163,10,10-1163,Gloucester,SO8320018600,51.865722,-2.2453868,England,N/A
255,,October,1163,10,10-1163,Peak Castle,SK1483282641,53.3402,-1.7772,England,N/A
256,,October,1163,10,10-1163,Lincoln,SK9746471804,53.234336,-0.54124564,England,N/A
257,,December,1163,12,12-1163,Woodstock,SP4449616513,51.845,-1.354,England,N/A
258,,December,1163,12,12-1163,Oxford,SP5130006100,51.751253,-1.2582674,England,Oxford Castle
259,25,December,1163,12,25-12-1163,Berkhampstead,SP9937607724,51.759399,-0.56154726,England,Hertfordshire
260,26,December,1163,12,26-12-1163,Berkhampstead,SP9937607724,51.759399,-0.56154726,England,Hertfordshire
261,27,December,1163,12,27-12-1163,Berkhampstead,SP9937607724,51.759399,-0.56154726,England,Hertfordshire
262,28,December,1163,12,28-12-1163,Berkhampstead,SP9937607724,51.759399,-0.56154726,England,Hertfordshire
263,29,December,1163,12,29-12-1163,Berkhampstead,SP9937607724,51.759399,-0.56154726,England,Hertfordshire
264,30,December,1163,12,30-12-1163,Berkhampstead,SP9937607724,51.759399,-0.56154726,England,Hertfordshire
265,31,December,1163,12,31-12-1163,Berkhampstead,SP9937607724,51.759399,-0.56154726,England,Hertfordshire
266,13,January,1164,1,13-1-1164,Clarendon,SU1820130173,51.0706,-1.7416,England,The King and his son Henry preside over the Council of clarendon. Clarendon.
267,14,January,1164,1,14-1-1164,Clarendon,SU1820130173,51.0706,-1.7416,England,The King and his son Henry preside over the Council of clarendon. Clarendon.
268,15,January,1164,1,15-1-1164,Clarendon,SU1820130173,51.0706,-1.7416,England,The King and his son Henry preside over the Council of clarendon. Clarendon.
269,16,January,1164,1,16-1-1164,Clarendon,SU1820130173,51.0706,-1.7416,England,The King and his son Henry preside over the Council of clarendon. Clarendon.
270,17,January,1164,1,17-1-1164,Clarendon,SU1820130173,51.0706,-1.7416,England,The King and his son Henry preside over the Council of clarendon. Clarendon.
271,18,January,1164,1,18-1-1164,Clarendon,SU1820130173,51.0706,-1.7416,England,The King and his son Henry preside over the Council of clarendon. Clarendon.
272,19,January,1164,1,19-1-1164,Clarendon,SU1820130173,51.0706,-1.7416,England,The King and his son Henry preside over the Council of clarendon. Clarendon.
